Date,Date (text),Title,Presented by,Summary,Video URL,Video ID,Duration (min),Views,Views (text),Likes,Subscribers,Published (relative),Duration (text),Category,Tags,Channel,Is Live,Description excerpt
2026-02-09,"Feb 9, 2026",The 'Looming AI Divide': How Global Cooperation Can Help| UN Tech Envoy Amandeep Gill | Anirudh Suri,IndiaAI,"In this episode of the AI Futures podcast, Anirudh Suri speaks with Amandeep Gill, UN Under-Secretary-General and Special Envoy for Digital and Emerging Technologies. Gill offers a window into the evolving global governance of AI—warning of a looming “AI divide” and the urgent need for international cooperation to...",https://www.youtube.com/watch?v=vcIgrSiQPRM,vcIgrSiQPRM,56.6,87,87 views,0,20.6K subscribers,6 days ago,56:36,,,IndiaAI,False,"In this episode of the AI Futures podcast, Anirudh Suri speaks with Amandeep Gill, UN Under-Secretary-General and Special Envoy for Digital and Emerging Technologies. Gill offers a window into the evolving global governa..."
2026-02-09,"Feb 9, 2026","AI Impact Summit 2026: Exclusive Interview with Parth Sarthi, Co - Founder, Chariot AI | DD News",Parth Sarthi,"AI Impact Summit 2026: Exclusive Interview with Parth Sarthi, Co - Founder, Chariot AI | DD News",https://www.youtube.com/watch?v=-bT0c1g3RoI,-bT0c1g3RoI,11.33,254,254 views,2,20.6K subscribers,6 days ago,11:20,,,IndiaAI,False,"AI Impact Summit 2026: Exclusive Interview with Parth Sarthi, Co - Founder, Chariot AI | DD News #indiaaiimpactsummit2026 #PeoplePlanetProgress #ResponsibleAI #ethicalai Video Courtesy: ‪@DDnews‬ Disclaimer: The copyrigh..."
2026-02-07,"Feb 7, 2026",AI EXPLAINED: Transforming India with AI | Ms. Debjani Ghosh,"DEBJANI GHOSH, Distinguished Fellow, NITI Aayog","India is emerging as a frontier AI nation, driving inclusive growth with AI-powered healthcare, agriculture, education, and governance. The focus: open, safe, affordable, and accessible AI for all.",https://www.youtube.com/watch?v=fFxm94ohJfE,fFxm94ohJfE,32.58,425,425 views,12,20.6K subscribers,9 days ago,32:35,,,IndiaAI,False,"India is emerging as a frontier AI nation, driving inclusive growth with AI-powered healthcare, agriculture, education, and governance. The focus: open, safe, affordable, and accessible AI for all. Guest: DEBJANI GHOSH, ..."
2026-02-07,"Feb 7, 2026",India’s AI Revolution: Sansad TV Special,IndiaAI,"India stands at the cusp of a transformative technological moment. Artificial Intelligence is no longer a concept of the future—it is reshaping governance, industry, education and the everyday lives of citizens.",https://www.youtube.com/watch?v=MpSQwYQeYts,MpSQwYQeYts,27.88,126,126 views,1,20.6K subscribers,9 days ago,27:53,,,IndiaAI,False,"India stands at the cusp of a transformative technological moment. Artificial Intelligence is no longer a concept of the future—it is reshaping governance, industry, education and the everyday lives of citizens. From dig..."
2026-02-07,"Feb 7, 2026",Perspective: India AI Governance Guidelines,IndiaAI,"Artificial intelligence is reshaping the world at an unprecedented pace. From healthcare and education to agriculture and national security, AI is transforming how societies function and how work gets done.",https://www.youtube.com/watch?v=osGX9iEHx8o,osGX9iEHx8o,22.57,117,117 views,0,20.6K subscribers,8 days ago,22:34,,,IndiaAI,False,"Artificial intelligence is reshaping the world at an unprecedented pace. From healthcare and education to agriculture and national security, AI is transforming how societies function and how work gets done. For India, th..."
2026-02-07,"Feb 7, 2026",AI Explained: AI for Viksit Bharat | Prof Ajay Kumar Sood,"Prof Ajay Kumar Sood, Principal Scientific Adviser, Government of India","India takes a decisive, bold step toward a safe, inclusive, human‑centric AI future with the AI Governance Guidelines 2025, balancing innovation, accountability, and trust. This isn’t just a policy — it’s a statement of intent for responsible, fair AI leadership ahead of the India‑AI Impact Summit 2026.",https://www.youtube.com/watch?v=B8VUJfReh5s,B8VUJfReh5s,34.83,1342,"1,342 views",30,20.6K subscribers,9 days ago,34:50,,,IndiaAI,False,"India takes a decisive, bold step toward a safe, inclusive, human‑centric AI future with the AI Governance Guidelines 2025, balancing innovation, accountability, and trust. This isn’t just a policy — it’s a statement of ..."
2026-02-07,"Feb 7, 2026","AI Impact Summit 2026: भारत की AI रणनीति पर Sravanth Aluru, CEO, Avataar Al से खास बातचीत | DD News",IndiaAI,"AI Impact Summit 2026: भारत की AI रणनीति पर Sravanth Aluru, CEO, Avataar Al से खास बातचीत | DD News",https://www.youtube.com/watch?v=eDF6VT03CZo,eDF6VT03CZo,14.83,272,272 views,14,20.6K subscribers,9 days ago,14:50,,,IndiaAI,False,"AI Impact Summit 2026: भारत की AI रणनीति पर Sravanth Aluru, CEO, Avataar Al से खास बातचीत | DD News #indiaaiimpactsummit2026 #PeoplePlanetProgress #ResponsibleAI #ethicalai Video Courtesy: @DDnews Disclaimer: The copyrig..."
2026-02-07,"Feb 7, 2026",AI Impact Summit: भारत 2026 : भारत का वैश्विक AI मिशन,IndiaAI,"AI Impact Summit 2026: भारत की AI रणनीति पर Sravanth Aluru, CEO, Avataar Al से खास बातचीत | DD News",https://www.youtube.com/watch?v=bGnZ1YeNiUY,bGnZ1YeNiUY,14.93,213,213 views,5,20.6K subscribers,9 days ago,14:56,,,IndiaAI,False,"AI Impact Summit 2026: भारत की AI रणनीति पर Sravanth Aluru, CEO, Avataar Al से खास बातचीत | DD News #indiaaiimpactsummit2026 #PeoplePlanetProgress #ResponsibleAI #ethicalai Video/ Podcast Courtesy: @DDnews Disclaimer: Th..."
2026-02-07,"Feb 7, 2026",AI Impact Summit 2026: Exclusive Interview with Gnani.ai Founder Ananth Nagaraj | DD News,Gnani.ai Founder Ananth Nagaraj,AI Impact Summit 2026: Exclusive Interview with Gnani.ai Founder Ananth Nagaraj | DD News,https://www.youtube.com/watch?v=EwiFZ2fQsJg,EwiFZ2fQsJg,9.57,139,139 views,2,20.6K subscribers,9 days ago,9:34,,,IndiaAI,False,AI Impact Summit 2026: Exclusive Interview with Gnani.ai Founder Ananth Nagaraj | DD News #indiaaiimpactsummit2026 #PeoplePlanetProgress #ResponsibleAI #ethicalai Video/ Podcast Courtesy: ‪@DDnews‬ Disclaimer: The copyri...
2026-02-07,"Feb 7, 2026",AI Impact Summit 2026: नेटवेब टेक्नोलॉजीज़ के संजय लोढ़ा से ख़ास बातचीत | भारत का वैश्विक AI Vision,IndiaAI,AI Impact Summit 2026: नेटवेब टेक्नोलॉजीज़ के संजय लोढ़ा से ख़ास बातचीत | भारत का वैश्विक AI Vision,https://www.youtube.com/watch?v=6v7K91KpEs8,6v7K91KpEs8,10.47,114,114 views,2,20.6K subscribers,9 days ago,10:28,,,IndiaAI,False,AI Impact Summit 2026: नेटवेब टेक्नोलॉजीज़ के संजय लोढ़ा से ख़ास बातचीत | भारत का वैश्विक AI Vision #indiaaiimpactsummit2026 #PeoplePlanetProgress #ResponsibleAI #ethicalai Video/ Podcast Courtesy: @DDnews Disclaimer: Th...
2026-02-06,"Feb 6, 2026","India AI Impact Summit, Building Indigenous Sovereign LLM | Special Interaction Dr. Pratyush Kumar",IndiaAI,Special interaction on India AI Impact Summit and building India’s indigenous sovereign large language model.,https://www.youtube.com/watch?v=hdHo6PyAQgc,hdHo6PyAQgc,9.47,139,139 views,4,20.6K subscribers,9 days ago,9:28,,,IndiaAI,False,Special interaction on India AI Impact Summit and building India’s indigenous sovereign large language model. Video Courtesy: @DDIndia Disclaimer: The copyright and all associated rights of the content remains with the o...
2026-02-06,"Feb 6, 2026",दुनिया का सबसे बड़ा AI Summit | India AI Impact Summit 2026 | Science Spark,IndiaAI,"India AI Impact Summit 2026 एक वैश्विक मंच है, जहां दुनिया भर के नेता, वैज्ञानिक, नीति-निर्माता, स्टार्टअप्स और टेक कंपनियां मिलकर ये तय करेंगी कि AI को सिर्फ अमीर देशों या कंपनियों तक सीमित न रखकर आम लोगों की जिंदगी बेहतर बनाने में कैसे इस्तेमाल किया जाए।",https://www.youtube.com/watch?v=jr_8Cojq3r8,jr_8Cojq3r8,9.73,267,267 views,2,20.6K subscribers,9 days ago,9:44,,,IndiaAI,False,"India AI Impact Summit 2026 एक वैश्विक मंच है, जहां दुनिया भर के नेता, वैज्ञानिक, नीति-निर्माता, स्टार्टअप्स और टेक कंपनियां मिलकर ये तय करेंगी कि AI को सिर्फ अमीर देशों या कंपनियों तक सीमित न रखकर आम लोगों की जिंदगी बेह..."
2026-02-06,"Feb 6, 2026",India AI Impact Summit 2026: Exclusive Interview with Prof. Ganesh Radhakrishnan | Mamta Chopra,Prof. Ganesh Radhakrishnan,India AI Impact Summit 2026: Exclusive Interview with Prof. Ganesh Radhakrishnan | Mamta Chopra,https://www.youtube.com/watch?v=kcfIzovfS-0,kcfIzovfS-0,15.03,144,144 views,10,20.6K subscribers,9 days ago,15:02,,,IndiaAI,False,India AI Impact Summit 2026: Exclusive Interview with Prof. Ganesh Radhakrishnan | Mamta Chopra Video/ Podcast Courtesy: @DDnews Disclaimer: The copyright and all associated rights of the content remains with the origina...
2026-02-06,"Feb 6, 2026","Beyond the AI Hype: The Real Breakthroughs AI Needs | Prof. Stuart Russell, UC Berkeley",IndiaAI,"In this episode of the AI Futures podcast, we sit down with Professor Stuart Russell of the University of California, Berkeley—one of the world’s foremost authorities on artificial intelligence and co-author of the field’s definitive textbook, Artificial Intelligence: A Modern Approach. The AI Futures podcast is...",https://www.youtube.com/watch?v=ZmDMcA1NHHk,ZmDMcA1NHHk,51.87,158,158 views,7,20.6K subscribers,9 days ago,51:52,,,IndiaAI,False,"In this episode of the AI Futures podcast, we sit down with Professor Stuart Russell of the University of California, Berkeley—one of the world’s foremost authorities on artificial intelligence and co-author of the field..."
2026-02-06,"Feb 6, 2026",India-AI Impact Summit 2026: Genloop के CEO Ayush Gupta के साथ खास बातचीत | Artificial Intelligence,IndiaAI,India-AI Impact Summit 2026: Genloop के CEO Ayush Gupta के साथ खास बातचीत | Artificial Intelligence,https://www.youtube.com/watch?v=cHCYSVSgRk0,cHCYSVSgRk0,10.08,66,66 views,4,20.6K subscribers,9 days ago,10:05,,,IndiaAI,False,India-AI Impact Summit 2026: Genloop के CEO Ayush Gupta के साथ खास बातचीत | Artificial Intelligence Video/ Podcast Courtesy: ‪@DDnews‬ Disclaimer: The copyright and all associated rights of the content remains with the o...
2026-02-06,"Feb 6, 2026",In Conversation with Prof. Stuart Russell | Trailor,Prof. Stuart Russell,"As AI Momentum Builds Globally, What Should the World Prioritize Next? In this episode of AI Futures: The Road to the India AI Impact Summit 2026, Professor Stuart Russell- one of the world’s foremost AI safety experts — explores the realities behind AGI ambitions, the sustainability of today’s AI boom, and why...",https://www.youtube.com/watch?v=VpxgPhNVJrw,VpxgPhNVJrw,2.13,52,52 views,1,20.6K subscribers,10 days ago,2:08,,,IndiaAI,False,"As AI Momentum Builds Globally, What Should the World Prioritize Next? In this episode of AI Futures: The Road to the India AI Impact Summit 2026, Professor Stuart Russell- one of the world’s foremost AI safety experts —..."
2026-02-06,"Feb 6, 2026",India-AI Impact Summit 2026: Genloop के CEO Ayush Gupta के साथ खास बातचीत | Artificial Intelligence,IndiaAI,India-AI Impact Summit 2026: Genloop के CEO Ayush Gupta के साथ खास बातचीत | Artificial Intelligence,https://www.youtube.com/watch?v=yE-3Tc8nx7A,yE-3Tc8nx7A,10.08,1727,"1,727 views",10,20.6K subscribers,10 days ago,10:05,,,IndiaAI,False,India-AI Impact Summit 2026: Genloop के CEO Ayush Gupta के साथ खास बातचीत | Artificial Intelligence Video Courtesy: @DDnews Disclaimer: The copyright and all associated rights of the content remains with the original cre...
2026-02-04,"Feb 4, 2026","What To Expect From The India Impact AI Summit: Abhishek Singh, CEO, IndiaAI Mission | CNBC TV18",IndiaAI,"Ahead of the AI Impact Summit 2026 in New Delhi this month, Abhishek Singh, CEO of the IndiaAI Mission, joins Shereen Bhan to discuss India’s evolving AI landscape.",https://www.youtube.com/watch?v=dDpbkwcee1Q,dDpbkwcee1Q,6.78,1226,"1,226 views",17,20.6K subscribers,11 days ago,6:47,,,IndiaAI,False,"Ahead of the AI Impact Summit 2026 in New Delhi this month, Abhishek Singh, CEO of the IndiaAI Mission, joins Shereen Bhan to discuss India’s evolving AI landscape. Video/ Podcast Courtesy: @CNBC-TV18 Disclaimer: The cop..."
2026-02-02,"Feb 2, 2026",AI Adoption Journey for Population Scale: The UCAF Framework,IndiaAI,"Why do so many initiatives shine in demos but stall in the real world? Nidhi Singh is joined by Shalini Kapoor, chief strategist for Data and AI at the EkStep Foundation, and Tanvi Lall, director for strategy at People+ai to explore why so often gets trapped in “pilot purgatory,” and what it truly takes to move...",https://www.youtube.com/watch?v=4gy9T0AJqwA,4gy9T0AJqwA,47.65,160,160 views,5,20.6K subscribers,2 weeks ago,47:39,,,IndiaAI,False,"Why do so many #AI initiatives shine in demos but stall in the real world? Nidhi Singh is joined by Shalini Kapoor, chief strategist for Data and AI at the EkStep Foundation, and Tanvi Lall, director for strategy at Peop..."
2026-01-31,"Jan 31, 2026","India's National AI Strategy & Sovereign Capabilities | Abhishek Singh, CEO, IndiaAI Mission",IndiaAI,"Will India lead the AI age? In this exclusive interview, Abhishek Singh, CEO of the IndiaAI Mission, breaks down how India is turning its Digital Public Infrastructure (DPI) into a global AI launchpad for the next 500 million users.",https://www.youtube.com/watch?v=BUUG6QrgiDQ,BUUG6QrgiDQ,29.12,359,359 views,4,20.6K subscribers,2 weeks ago,29:07,,,IndiaAI,False,"Will India lead the AI age? In this exclusive interview, Abhishek Singh, CEO of the IndiaAI Mission, breaks down how India is turning its Digital Public Infrastructure (DPI) into a global AI launchpad for the next 500 mi..."
2026-01-31,"Jan 31, 2026","""It's all about artificial intelligence"": How India is preparing for the Technological Future",IndiaAI,"Abhishek Singh, CEO of the India AI Mission & Director General, ‪NIC, shared insights on the role of artificial intelligence in the country, highlighting how AI is already embedded in the everyday lives of citizens.",https://www.youtube.com/watch?v=yMggz4OZ8zk,yMggz4OZ8zk,1.1,1153,"1,153 views",3,20.6K subscribers,2 weeks ago,1:06,,,IndiaAI,False,"Abhishek Singh, CEO of the India AI Mission & Director General, ‪NIC, shared insights on the role of artificial intelligence in the country, highlighting how AI is already embedded in the everyday lives of citizens. #ind..."
2026-01-31,"Jan 31, 2026",Dr. Romesh Wadhwani on ‘Exploring Global AI Policy Priorities Ahead of the India AI Impact Summit’,IndiaAI,"Wadhwani, CSIS’s Wadhwani AI Center and Chair on India and Emerging Asia Economics, as he speaks on global AI policy priorities ahead of the India AI Impact Summit 2026.",https://www.youtube.com/watch?v=TWAJSTAlRvY,TWAJSTAlRvY,28.5,482,482 views,2,20.6K subscribers,2 weeks ago,28:30,,,IndiaAI,False,"Join Dr Romesh T. Wadhwani, CSIS’s Wadhwani AI Center and Chair on India and Emerging Asia Economics, as he speaks on global AI policy priorities ahead of the India AI Impact Summit 2026. #indiaaiimpactsummit2026 #People..."
2026-01-30,"Jan 30, 2026",Exclusive with Shri S. Krishnan on India’s AI leadership ambitions and AI Impact Summit 2026,IndiaAI,"In this detailed conversation, Shri S. Krishnan outlines India’s long-term vision for advancing artificial intelligence and enabling its effective adoption across sectors such as governance, industry, healthcare, education, and finance - fueling innovation, productivity, and economic growth.",https://www.youtube.com/watch?v=cYUtXE7XcfU,cYUtXE7XcfU,31.9,196,196 views,6,20.6K subscribers,2 weeks ago,31:54,,,IndiaAI,False,"In this detailed conversation, Shri S. Krishnan outlines India’s long-term vision for advancing artificial intelligence and enabling its effective adoption across sectors such as governance, industry, healthcare, educati..."
2026-01-30,"Jan 30, 2026","Samvaad: Exclusive Interview with S Krishnan, Secretary in the Ministry of Electronics and IT",S Krishnan,"In this episode of Samvaad , S Krishnan, Secretary MEITY highlighted how the government is actively fostering an ecosystem that promotes accessibility, inclusivity, innovation and self-reliance.",https://www.youtube.com/watch?v=J5vuQ-Wy8pk,J5vuQ-Wy8pk,26.95,45,45 views,2,20.6K subscribers,2 weeks ago,26:57,,,IndiaAI,False,"In this episode of Samvaad , S Krishnan, Secretary MEITY highlighted how the government is actively fostering an ecosystem that promotes accessibility, inclusivity, innovation and self-reliance. #indiaaiimpactsummit2026 ..."
2026-01-30,"Jan 30, 2026","Code, Chips & Innovation: S. Krishnan, @SecretaryMEITY, on India’s Next Leap Forward",IndiaAI,"India’s future is being written in code, chips & innovation. Krishnan, @SecretaryMEITY, on why , & matter for India’s next leap forward.",https://www.youtube.com/watch?v=MllsObX_hMI,MllsObX_hMI,1.22,241,241 views,3,20.6K subscribers,2 weeks ago,1:13,,,IndiaAI,False,"India’s future is being written in code, chips & innovation. 💡 Hear from S. Krishnan, @SecretaryMEITY, on why #AI, #Semiconductors & #Innovation matter for India’s next leap forward. #indiaaiimpactsummit2026 #PeoplePlane..."
2026-01-30,"Jan 30, 2026","S. Krishnan, Secretary, Ministry of Electronics & IT, Government of India, shares key insights",IndiaAI,"Unlocking the digital age 🚀✨ Watch S. Krishnan, Secretary, Ministry of Electronics & IT, Government of India, share key perspectives on how Digital Public Infrastructure is powering a more connected, inclusive, and innovation-driven India at .",https://www.youtube.com/watch?v=P6TByzjMerk,P6TByzjMerk,12.78,182,182 views,2,20.6K subscribers,2 weeks ago,12:47,,,IndiaAI,False,"Unlocking the digital age 🚀✨ Watch S. Krishnan, Secretary, Ministry of Electronics & IT, Government of India, share key perspectives on how Digital Public Infrastructure is powering a more connected, inclusive, and innov..."
2026-01-30,"Jan 30, 2026","Podcast on DPDP Act 2023, featuring Secretary, MeitY",IndiaAI,"Krishnan, Secretary, MeitY, in conversation with host Rahul Matthan, Partner at Trilegal, this video delves into the Digital Personal Data Protection Act (DPDPA) 2023. The discussion unpacks why the law is essential, its relevance in today’s digital landscape, how individuals often underestimate their own data...",https://www.youtube.com/watch?v=cfMp--B8fG0,cfMp--B8fG0,65.52,248,248 views,1,20.6K subscribers,2 weeks ago,1:05:31,,,IndiaAI,False,"Featuring Shri S. Krishnan, Secretary, MeitY, in conversation with host Rahul Matthan, Partner at Trilegal, this video delves into the Digital Personal Data Protection Act (DPDPA) 2023. The discussion unpacks why the law..."
2026-01-30,"Jan 30, 2026","Exclusive Interview With S. Krishnan, Secretary In Ministry Of Electronics & Information Technology",S. Krishnan,"In an exclusive interview with Sansad TV, S. Krishnan, Secretary, Ministry of Electronics and Information Technology, Government of India, discusses the key challenges facing the electronics and IT sector, along with the expectations and opportunities ahead.",https://www.youtube.com/watch?v=Fgh-MkfGlCg,Fgh-MkfGlCg,24.7,60,60 views,1,20.6K subscribers,2 weeks ago,24:42,,,IndiaAI,False,"In an exclusive interview with Sansad TV, S. Krishnan, Secretary, Ministry of Electronics and Information Technology, Government of India, discusses the key challenges facing the electronics and IT sector, along with the..."
2026-01-30,"Jan 30, 2026",“PM Interacted With 12 AI Startups”: MeitY Secretary S Krishnan On India AI Mission,IndiaAI,"Commenting on Prime Minister Narendra Modi’s roundtable with Indian AI startups, S. Krishnan, Secretary, Ministry of Electronics and Information Technology, said the Prime Minister engaged with 12 AI startups shortlisted under the India AI Mission to develop India’s foundational AI models.",https://www.youtube.com/watch?v=sa3b_eS92X8,sa3b_eS92X8,3.23,131,131 views,0,20.6K subscribers,2 weeks ago,3:14,,,IndiaAI,False,"Commenting on Prime Minister Narendra Modi’s roundtable with Indian AI startups, S. Krishnan, Secretary, Ministry of Electronics and Information Technology, said the Prime Minister engaged with 12 AI startups shortlisted..."
2026-01-30,"Jan 30, 2026",MeitY Secretary Krishnan On Upcoming India AI Summit | India Business Hour,IndiaAI,"The India AI Impact Summit 2026, envisioned as a major global forum on artificial intelligence, will center on the theme “Democratizing AI, Bridging the AI Divide.” The objective is to ensure that AI’s transformative potential is shared broadly across countries, communities, and societies, rather than being...",https://www.youtube.com/watch?v=QDkb9cnhusc,QDkb9cnhusc,1.52,135,135 views,0,20.6K subscribers,2 weeks ago,1:31,,,IndiaAI,False,"The India AI Impact Summit 2026, envisioned as a major global forum on artificial intelligence, will center on the theme “Democratizing AI, Bridging the AI Divide.” The objective is to ensure that AI’s transformative pot..."
2026-01-30,"Jan 30, 2026","Shri S. Krishnan, Secretary MeitY | Message on India’s DPDP Act & Digital Trust | Data Safeguard",IndiaAI,"A special video message from Shri S. Krishnan, IAS, Secretary, Ministry of Electronics and Information Technology (MeitY), Government of India.",https://www.youtube.com/watch?v=kujVEGX6mas,kujVEGX6mas,6.45,119,119 views,0,20.6K subscribers,2 weeks ago,6:27,,,IndiaAI,False,"A special video message from Shri S. Krishnan, IAS, Secretary, Ministry of Electronics and Information Technology (MeitY), Government of India. Although he was unable to join our closed-door leadership forum, “DPDP Act –..."
